cd_sector,x65,rest,prop_65plussers
11002S11-,541,2615,17.14195183776933
11002S12-,430,2274,15.902366863905327
11002S13-,183,890,17.054986020503264
11002S20-,114,768,12.925170068027212
11002S2MJ,194,511,27.5177304964539
11002S30-,307,3576,7.906258047901107
11002S31-,438,3944,9.995435874030123
11002S41-,304,1900,13.793103448275861
11002S42-,798,2116,27.3850377487989
11002S43-,261,1394,15.770392749244714
11002T00-,441,3022,12.734623159110598
11002T01-,241,2191,9.90953947368421
11002T02-,290,1064,21.418020679468242
11002T03-,385,2124,15.344758868074932
11002T04-,338,1462,18.777777777777775
11002T05-,219,1957,10.064338235294118
11002T09-,238,268,47.03557312252965
11002T10-,338,1925,14.935925762262483
11002T111,1171,2168,35.07038035339922
11002T12-,480,1288,27.149321266968325
11002T13-,426,1739,19.676674364896073
11002T14-,570,2204,20.54794520547945
11002T180,293,288,50.4302925989673
11002T20-,713,3316,17.696698932737654
11002T21-,235,1661,12.39451476793249
11002T22-,302,1864,13.94275161588181
11002T23-,208,1170,15.09433962264151
11002T24-,143,662,17.763975155279503
11002T25-,125,311,28.6697247706422
11002T30-,246,1570,13.54625550660793
11002T39-,1,11,8.333333333333332
11002T412,861,791,52.118644067796616
11002T42-,419,1441,22.526881720430108
11002U00-,849,2340,26.62276575729069
11002U01-,933,2096,30.802244965335095
11002U02-,665,2649,20.066385033192518
11002U03-,439,2115,17.188723570869225
11002U09-,19,86,18.095238095238095
11002U10-,777,2554,23.32632842990093
11002U11-,329,1645,16.666666666666664
11002U20-,1110,4723,19.029658837647865
11002U21-,478,3387,12.367399741267787
11002U22-,102,1159,8.088818398096748
11002U30-,497,2794,15.101792768155576
11002U31-,178,998,15.136054421768709
11002U32-,203,1077,15.859375
11002U33-,658,2084,23.99708242159008
11002U40-,445,1524,22.600304723209753
11002U41-,168,597,21.96078431372549
11002U43-,387,860,31.03448275862069
11002U47-,49,155,24.019607843137255
11002U57-,22,150,12.790697674418606
11002U5MA,0,9,0
11002U5PA,1,4,20
11002U60-,71,414,14.63917525773196
11002U68-,0,4,0
11002U69-,3,12,20
11002V00-,323,1476,17.954419121734297
11002V01-,326,1922,14.501779359430605
11002V02-,286,1037,21.61753590325019
11002V03-,151,1343,10.107095046854083
11002V04-,421,1443,22.585836909871247
11002V05-,294,2377,11.007113440658928
11002V07-,1,15,6.25
11002V099,9,22,29.03225806451613
11002V10-,749,5135,12.729435757987764
11002V11-,652,2991,17.897337359319245
11002V12-,211,1580,11.781127861529871
11002V13-,682,3417,16.638204440107344
11002V14-,527,2065,20.331790123456788
11002V19-,75,122,38.07106598984771
11002V20-,425,1624,20.741825280624695
