cd_sector,tx_sector_descr_nl,ms_avg_tot_net_taxable_inc,ms_median_net_taxable_inc
11005A20-,BAREEL-PARK,30798,26115
11005A211,WATERTOREN,39389,31288
11005A22-,GEBO,43548,33607
11005A232,KORTE STRAAT,31777,25980
11005A242,QUESELS,48794,40022
11005A25-,VOSKEN,48994,39723
11005A30-,PERTSGAD,28887,23016
11007A00-,BORSBEEK-CENTRUM,33898,26175
11007A01-,VOGELZANG,37749,30150
11007A020,ACHTERROT,50713,33626
11007A03-,VAN PUTLEI,34887,27670
11007A04-,OUDE SPRINKHAAN,33206,27514
11007A080,SCHOENDONK,NA,35604
11007A09-,FORT 3,NA,31749
11008A00-,VAGEVUURVELDEN,34912,26814
11008A01-,BRASSCHAAT-CENTRUM,34029,25724
11008A020,ZAND - HEISLAG,36498,28161
11008A03-,FORTUINBEEK,46734,34502
11008A04-,KLINIEK,38620,27754
11008A091,PARK,NA,NA
11008A0AA,NEERVELDEN,59884,40479
11008A0BJ,HEUVELS - RIETBEEMDEN,37605,28940
11008A0PA,TORENHOF - HOF TEN BOS,42753,28969
11008A10-,MIDDELKAART,37810,29991
11008A11-,LAGE KAART,40552,30602
11008A12-,HOGE KAART,45125,33388
11008A19-,EIKELENBERG,44278,29634
11008A20-,DRIEHOEK,41651,29802
11008A21-,BETHANIE,51416,34138
11008A22-,MISHAGEN,56829,25480
11008A283,HET LEEG - MIKSE HEIDE,39779,24238
11008A29-,NIEMANDS BEEMDEN,NA,NA
11008A30-,MARIA-TER-HEIDE,36933,28703
11008A31-,MOLENHEIDE,42948,33444
11008A32-,BELLENHOF,34402,22166
11008A332,DUREN TIJD,59165,37987
11008A381,DE MIK,28118,20014
11008A3MB,GROOT SCHIETVELD,51845,35489
11008A3PB,KAMP VAN BRASSCHAAT,50127,31539
11008A40-,MARIABURG,46162,33012
11008A49-,LEENHEIDE - KATERHEIDE,57632,37134
11008A500,VRIESDONK,60241,39072
11008A510,TER BORCHT - VOSHOL,73638,36946
11008A59-,PEERDSBOS,NA,NA
11009A000,BRECHT-CENTRUM,33697,26593
11009A01-,HEIKEN,43202,30667
11009A02-,BEEKHOVEN,33161,25390
11009A03-,PAPBOS,39298,31961
11009A042,HENSEL,45599,35729
11009A0AD,STEEGHOVEN,26392,22216
11009A0MC,DE RING,47389,33635
11009A0PD,HOEK - SCHOM,35680,26133
11009A0QC,STAPELHEIDE - NOLLEKENS,38143,28100
11009A20-,HET VEEN,49168,37644
11009A21-,KAMBEENHEIDE,45872,34265
11009A222,HOGE HEIDE,50943,36337
11009A281,DE MEREL,NA,NA
11009A29-,VRAAGHEIDE,NA,NA
11009A30-,OVERBROEK,36853,27737
11009A38-,KREKELBERG,57439,38391
11009A3AB,NIEUWE ROMMERSHEIDE,46102,38919
11009A3PB,HORST - SCHOORDIJK - MEREYT,40570,30067
11009A49-,BRECHTSE HEIDE,31063,24025
11009A5AA,ROMMERSHEIDE - LAKVEN,42000,34496
11009A5PA,NOTTEBOHM,61792,46694
11009B00-,SINT-LENAARTS-CENTRUM,33010,26543
11009B01-,POTHOEK,46624,35507
11009B02-,HEIKEN,33151,24071
11009B032,KONINGSSTOEL,40062,32997
11009B08-,MOLENHEIKEN,37522,30113
11009B091,HENXBROEK-KLOOSTERAKKER-VONDEL,36298,27640
11009B18-,EESTER - LABOUREUR - VOGELZANG,NA,28921
11009B19-,DE LEEUWERIK,29302,24965
11009B20-,GROOT EN KLEIN VEERLE,35033,30808
11009B29-,DE HOUW - GALGEVOORT,37092,28398
11009B2MA,D'HOEF,NA,NA
11009B2PA,VEERLE - VERSPREIDE BEWONING,47150,32096
11009C00-,SINT-JOB-IN-'T GOOR - CENTRUM,42333,31935
11009C01-,LEEUWERIK,40914,31117
11009C020,ZAND,50577,37001
11009C03-,SINT-JOB-IN-'T GOOR - DORP-N.,40747,31406
11009C08-,CHRISTUS-KONING,33198,23195
11009C090,KLOOSTERVELD-VERSPR. BEW.,47636,35982
